exchange,version,trade_date,product,night_start,night_end,reason,source_url
DCE,commodity-v1,2019-12-26,,22:30,23:00,delayed night open per 大商所发[2019]553号 notice_evening=2019-12-25,http://qhxy.dce.com.cn/dalianshangpin/ywfw/jystz/ywtz/6202113/index.html
CZCE,commodity-v1,2020-10-09,,none,none,no night session on the first trading day after a statutory holiday per the exchange standing rule notice_evening=2020-09-30,https://www.czce.com.cn/cn/rootfiles/2014/11/24/1415698818159779-1415698818161921.pdf
DCE,commodity-v1,2020-10-09,,none,none,no night session before the post-holiday session notice_evening=2020-09-30,http://qhxy.dce.com.cn/dalianshangpin/ywfw/jystz/ywtz/6201818/index.html
INE,commodity-v1,2020-10-09,,none,none,no night session before the post-holiday session notice_evening=2020-09-30,https://www.ine.cn/publicnotice/notice/201912/t20191224_812027.html
SHFE,commodity-v1,2020-10-09,,none,none,no night session before the post-holiday session notice_evening=2020-09-30,https://www.shfe.com.cn/publicnotice/notice/201912/t20191224_795447.html
CZCE,commodity-v1,2021-01-04,,none,none,no night session on the first trading day after a statutory holiday per the exchange standing rule notice_evening=2020-12-31,https://www.czce.com.cn/cn/rootfiles/2014/11/24/1415698818159779-1415698818161921.pdf
DCE,commodity-v1,2021-01-04,,none,none,no night session before the post-holiday session notice_evening=2020-12-31,http://qhxy.dce.com.cn/dalianshangpin/ywfw/jystz/ywtz/6260870/index.html
INE,commodity-v1,2021-01-04,,none,none,no night session before the post-holiday session notice_evening=2020-12-31,https://www.ine.cn/publicnotice/notice/202012/t20201223_812576.html
SHFE,commodity-v1,2021-01-04,,none,none,no night session before the post-holiday session notice_evening=2020-12-31,https://www.shfe.com.cn/publicnotice/notice/202012/t20201223_796877.html
CZCE,commodity-v1,2021-02-18,,none,none,no night session on the first trading day after a statutory holiday per the exchange standing rule notice_evening=2021-02-10,https://www.czce.com.cn/cn/rootfiles/2014/11/24/1415698818159779-1415698818161921.pdf
DCE,commodity-v1,2021-02-18,,none,none,no night session before the post-holiday session notice_evening=2021-02-10,http://qhxy.dce.com.cn/dalianshangpin/ywfw/jystz/ywtz/6260870/index.html
INE,commodity-v1,2021-02-18,,none,none,no night session before the post-holiday session notice_evening=2021-02-10,https://www.ine.cn/publicnotice/notice/202012/t20201223_812576.html
SHFE,commodity-v1,2021-02-18,,none,none,no night session before the post-holiday session notice_evening=2021-02-10,https://www.shfe.com.cn/publicnotice/notice/202012/t20201223_796877.html
CZCE,commodity-v1,2021-04-06,,none,none,no night session on the first trading day after a statutory holiday per the exchange standing rule notice_evening=2021-04-02,https://www.czce.com.cn/cn/rootfiles/2014/11/24/1415698818159779-1415698818161921.pdf
DCE,commodity-v1,2021-04-06,,none,none,no night session before the post-holiday session notice_evening=2021-04-02,http://qhxy.dce.com.cn/dalianshangpin/ywfw/jystz/ywtz/6260870/index.html
INE,commodity-v1,2021-04-06,,none,none,no night session before the post-holiday session notice_evening=2021-04-02,https://www.ine.cn/publicnotice/notice/202012/t20201223_812576.html
SHFE,commodity-v1,2021-04-06,,none,none,no night session before the post-holiday session notice_evening=2021-04-02,https://www.shfe.com.cn/publicnotice/notice/202012/t20201223_796877.html
CZCE,commodity-v1,2021-05-06,,none,none,no night session on the first trading day after a statutory holiday per the exchange standing rule notice_evening=2021-04-30,https://www.czce.com.cn/cn/rootfiles/2014/11/24/1415698818159779-1415698818161921.pdf
DCE,commodity-v1,2021-05-06,,none,none,no night session before the post-holiday session notice_evening=2021-04-30,http://qhxy.dce.com.cn/dalianshangpin/ywfw/jystz/ywtz/6260870/index.html
INE,commodity-v1,2021-05-06,,none,none,no night session before the post-holiday session notice_evening=2021-04-30,https://www.ine.cn/publicnotice/notice/202012/t20201223_812576.html
SHFE,commodity-v1,2021-05-06,,none,none,no night session before the post-holiday session notice_evening=2021-04-30,https://www.shfe.com.cn/publicnotice/notice/202012/t20201223_796877.html
CZCE,commodity-v1,2021-06-15,,none,none,no night session on the first trading day after a statutory holiday per the exchange standing rule notice_evening=2021-06-11,https://www.czce.com.cn/cn/rootfiles/2014/11/24/1415698818159779-1415698818161921.pdf
DCE,commodity-v1,2021-06-15,,none,none,no night session before the post-holiday session notice_evening=2021-06-11,http://qhxy.dce.com.cn/dalianshangpin/ywfw/jystz/ywtz/6260870/index.html
INE,commodity-v1,2021-06-15,,none,none,no night session before the post-holiday session notice_evening=2021-06-11,https://www.ine.cn/publicnotice/notice/202012/t20201223_812576.html
SHFE,commodity-v1,2021-06-15,,none,none,no night session before the post-holiday session notice_evening=2021-06-11,https://www.shfe.com.cn/publicnotice/notice/202012/t20201223_796877.html
CZCE,commodity-v1,2021-09-22,,none,none,no night session on the first trading day after a statutory holiday per the exchange standing rule notice_evening=2021-09-17,https://www.czce.com.cn/cn/rootfiles/2014/11/24/1415698818159779-1415698818161921.pdf
DCE,commodity-v1,2021-09-22,,none,none,no night session before the post-holiday session notice_evening=2021-09-17,http://qhxy.dce.com.cn/dalianshangpin/ywfw/jystz/ywtz/6260870/index.html
INE,commodity-v1,2021-09-22,,none,none,no night session before the post-holiday session notice_evening=2021-09-17,https://www.ine.cn/publicnotice/notice/202012/t20201223_812576.html
SHFE,commodity-v1,2021-09-22,,none,none,no night session before the post-holiday session notice_evening=2021-09-17,https://www.shfe.com.cn/publicnotice/notice/202012/t20201223_796877.html
CZCE,commodity-v1,2021-10-08,,none,none,no night session on the first trading day after a statutory holiday per the exchange standing rule notice_evening=2021-09-30,https://www.czce.com.cn/cn/rootfiles/2014/11/24/1415698818159779-1415698818161921.pdf
DCE,commodity-v1,2021-10-08,,none,none,no night session before the post-holiday session notice_evening=2021-09-30,http://qhxy.dce.com.cn/dalianshangpin/ywfw/jystz/ywtz/6260870/index.html
INE,commodity-v1,2021-10-08,,none,none,no night session before the post-holiday session notice_evening=2021-09-30,https://www.ine.cn/publicnotice/notice/202012/t20201223_812576.html
SHFE,commodity-v1,2021-10-08,,none,none,no night session before the post-holiday session notice_evening=2021-09-30,https://www.shfe.com.cn/publicnotice/notice/202012/t20201223_796877.html
CZCE,commodity-v1,2022-01-04,,none,none,no night session on the first trading day after a statutory holiday per the exchange standing rule notice_evening=2021-12-31,https://www.czce.com.cn/cn/rootfiles/2014/11/24/1415698818159779-1415698818161921.pdf
DCE,commodity-v1,2022-01-04,,none,none,no night session before the post-holiday session notice_evening=2021-12-31,http://qhxy.dce.com.cn/dalianshangpin/ywfw/jystz/ywtz/6300288/index.html
INE,commodity-v1,2022-01-04,,none,none,no night session before the post-holiday session notice_evening=2021-12-31,https://www.ine.cn/publicnotice/notice/202112/t20211217_813157.html
SHFE,commodity-v1,2022-01-04,,none,none,no night session before the post-holiday session notice_evening=2021-12-31,https://www.shfe.com.cn/publicnotice/notice/202112/t20211217_798298.html
CZCE,commodity-v1,2022-02-07,,none,none,no night session on the first trading day after a statutory holiday per the exchange standing rule notice_evening=2022-01-28,https://www.czce.com.cn/cn/rootfiles/2014/11/24/1415698818159779-1415698818161921.pdf
DCE,commodity-v1,2022-02-07,,none,none,no night session before the post-holiday session notice_evening=2022-01-28,http://qhxy.dce.com.cn/dalianshangpin/ywfw/jystz/ywtz/6300288/index.html
INE,commodity-v1,2022-02-07,,none,none,no night session before the post-holiday session notice_evening=2022-01-28,https://www.ine.cn/publicnotice/notice/202112/t20211217_813157.html
SHFE,commodity-v1,2022-02-07,,none,none,no night session before the post-holiday session notice_evening=2022-01-28,https://www.shfe.com.cn/publicnotice/notice/202112/t20211217_798298.html
CZCE,commodity-v1,2022-04-06,,none,none,no night session on the first trading day after a statutory holiday per the exchange standing rule notice_evening=2022-04-01,https://www.czce.com.cn/cn/rootfiles/2014/11/24/1415698818159779-1415698818161921.pdf
DCE,commodity-v1,2022-04-06,,none,none,no night session before the post-holiday session notice_evening=2022-04-01,http://qhxy.dce.com.cn/dalianshangpin/ywfw/jystz/ywtz/6300288/index.html
INE,commodity-v1,2022-04-06,,none,none,no night session before the post-holiday session notice_evening=2022-04-01,https://www.ine.cn/publicnotice/notice/202112/t20211217_813157.html
SHFE,commodity-v1,2022-04-06,,none,none,no night session before the post-holiday session notice_evening=2022-04-01,https://www.shfe.com.cn/publicnotice/notice/202112/t20211217_798298.html
CZCE,commodity-v1,2022-05-05,,none,none,no night session on the first trading day after a statutory holiday per the exchange standing rule notice_evening=2022-04-29,https://www.czce.com.cn/cn/rootfiles/2014/11/24/1415698818159779-1415698818161921.pdf
DCE,commodity-v1,2022-05-05,,none,none,no night session before the post-holiday session notice_evening=2022-04-29,http://qhxy.dce.com.cn/dalianshangpin/ywfw/jystz/ywtz/6300288/index.html
INE,commodity-v1,2022-05-05,,none,none,no night session before the post-holiday session notice_evening=2022-04-29,https://www.ine.cn/publicnotice/notice/202112/t20211217_813157.html
SHFE,commodity-v1,2022-05-05,,none,none,no night session before the post-holiday session notice_evening=2022-04-29,https://www.shfe.com.cn/publicnotice/notice/202112/t20211217_798298.html
CZCE,commodity-v1,2022-06-06,,none,none,no night session on the first trading day after a statutory holiday per the exchange standing rule notice_evening=2022-06-02,https://www.czce.com.cn/cn/rootfiles/2014/11/24/1415698818159779-1415698818161921.pdf
DCE,commodity-v1,2022-06-06,,none,none,no night session before the post-holiday session notice_evening=2022-06-02,http://qhxy.dce.com.cn/dalianshangpin/ywfw/jystz/ywtz/6300288/index.html
INE,commodity-v1,2022-06-06,,none,none,no night session before the post-holiday session notice_evening=2022-06-02,https://www.ine.cn/publicnotice/notice/202112/t20211217_813157.html
SHFE,commodity-v1,2022-06-06,,none,none,no night session before the post-holiday session notice_evening=2022-06-02,https://www.shfe.com.cn/publicnotice/notice/202112/t20211217_798298.html
CZCE,commodity-v1,2022-09-13,,none,none,no night session on the first trading day after a statutory holiday per the exchange standing rule notice_evening=2022-09-09,https://www.czce.com.cn/cn/rootfiles/2014/11/24/1415698818159779-1415698818161921.pdf
DCE,commodity-v1,2022-09-13,,none,none,no night session before the post-holiday session notice_evening=2022-09-09,http://qhxy.dce.com.cn/dalianshangpin/ywfw/jystz/ywtz/6300288/index.html
INE,commodity-v1,2022-09-13,,none,none,no night session before the post-holiday session notice_evening=2022-09-09,https://www.ine.cn/publicnotice/notice/202112/t20211217_813157.html
SHFE,commodity-v1,2022-09-13,,none,none,no night session before the post-holiday session notice_evening=2022-09-09,https://www.shfe.com.cn/publicnotice/notice/202112/t20211217_798298.html
CZCE,commodity-v1,2022-10-10,,none,none,no night session on the first trading day after a statutory holiday per the exchange standing rule notice_evening=2022-09-30,https://www.czce.com.cn/cn/rootfiles/2014/11/24/1415698818159779-1415698818161921.pdf
DCE,commodity-v1,2022-10-10,,none,none,no night session before the post-holiday session notice_evening=2022-09-30,http://qhxy.dce.com.cn/dalianshangpin/ywfw/jystz/ywtz/6300288/index.html
INE,commodity-v1,2022-10-10,,none,none,no night session before the post-holiday session notice_evening=2022-09-30,https://www.ine.cn/publicnotice/notice/202112/t20211217_813157.html
SHFE,commodity-v1,2022-10-10,,none,none,no night session before the post-holiday session notice_evening=2022-09-30,https://www.shfe.com.cn/publicnotice/notice/202112/t20211217_798298.html
CZCE,commodity-v1,2023-01-03,,none,none,no night session on the first trading day after a statutory holiday per the exchange standing rule notice_evening=2022-12-30,https://www.czce.com.cn/cn/rootfiles/2014/11/24/1415698818159779-1415698818161921.pdf
DCE,commodity-v1,2023-01-03,,none,none,no night session before the post-holiday session notice_evening=2022-12-30,http://qhxy.dce.com.cn/dalianshangpin/ywfw/jystz/ywtz/8526813/index.html
INE,commodity-v1,2023-01-03,,none,none,no night session before the post-holiday session notice_evening=2022-12-30,https://www.ine.cn/publicnotice/notice/202212/t20221227_813855.html
SHFE,commodity-v1,2023-01-03,,none,none,no night session before the post-holiday session notice_evening=2022-12-30,https://www.shfe.com.cn/publicnotice/notice/202212/t20221227_799690.html
CZCE,commodity-v1,2023-01-30,,none,none,no night session on the first trading day after a statutory holiday per the exchange standing rule notice_evening=2023-01-20,https://www.czce.com.cn/cn/rootfiles/2014/11/24/1415698818159779-1415698818161921.pdf
DCE,commodity-v1,2023-01-30,,none,none,no night session before the post-holiday session notice_evening=2023-01-20,http://qhxy.dce.com.cn/dalianshangpin/ywfw/jystz/ywtz/8526813/index.html
INE,commodity-v1,2023-01-30,,none,none,no night session before the post-holiday session notice_evening=2023-01-20,https://www.ine.cn/publicnotice/notice/202212/t20221227_813855.html
SHFE,commodity-v1,2023-01-30,,none,none,no night session before the post-holiday session notice_evening=2023-01-20,https://www.shfe.com.cn/publicnotice/notice/202212/t20221227_799690.html
CZCE,commodity-v1,2023-04-06,,none,none,no night session on the first trading day after a statutory holiday per the exchange standing rule notice_evening=2023-04-04,https://www.czce.com.cn/cn/rootfiles/2014/11/24/1415698818159779-1415698818161921.pdf
DCE,commodity-v1,2023-04-06,,none,none,no night session before the post-holiday session notice_evening=2023-04-04,http://qhxy.dce.com.cn/dalianshangpin/ywfw/jystz/ywtz/8526813/index.html
INE,commodity-v1,2023-04-06,,none,none,no night session before the post-holiday session notice_evening=2023-04-04,https://www.ine.cn/publicnotice/notice/202212/t20221227_813855.html
SHFE,commodity-v1,2023-04-06,,none,none,no night session before the post-holiday session notice_evening=2023-04-04,https://www.shfe.com.cn/publicnotice/notice/202212/t20221227_799690.html
CZCE,commodity-v1,2023-05-04,,none,none,no night session on the first trading day after a statutory holiday per the exchange standing rule notice_evening=2023-04-28,https://www.czce.com.cn/cn/rootfiles/2014/11/24/1415698818159779-1415698818161921.pdf
DCE,commodity-v1,2023-05-04,,none,none,no night session before the post-holiday session notice_evening=2023-04-28,http://qhxy.dce.com.cn/dalianshangpin/ywfw/jystz/ywtz/8526813/index.html
INE,commodity-v1,2023-05-04,,none,none,no night session before the post-holiday session notice_evening=2023-04-28,https://www.ine.cn/publicnotice/notice/202212/t20221227_813855.html
SHFE,commodity-v1,2023-05-04,,none,none,no night session before the post-holiday session notice_evening=2023-04-28,https://www.shfe.com.cn/publicnotice/notice/202212/t20221227_799690.html
CZCE,commodity-v1,2023-06-26,,none,none,no night session on the first trading day after a statutory holiday per the exchange standing rule notice_evening=2023-06-21,https://www.czce.com.cn/cn/rootfiles/2014/11/24/1415698818159779-1415698818161921.pdf
DCE,commodity-v1,2023-06-26,,none,none,no night session before the post-holiday session notice_evening=2023-06-21,http://qhxy.dce.com.cn/dalianshangpin/ywfw/jystz/ywtz/8526813/index.html
INE,commodity-v1,2023-06-26,,none,none,no night session before the post-holiday session notice_evening=2023-06-21,https://www.ine.cn/publicnotice/notice/202212/t20221227_813855.html
SHFE,commodity-v1,2023-06-26,,none,none,no night session before the post-holiday session notice_evening=2023-06-21,https://www.shfe.com.cn/publicnotice/notice/202212/t20221227_799690.html
CZCE,commodity-v1,2023-10-09,,none,none,no night session on the first trading day after a statutory holiday per the exchange standing rule notice_evening=2023-09-28,https://www.czce.com.cn/cn/rootfiles/2014/11/24/1415698818159779-1415698818161921.pdf
DCE,commodity-v1,2023-10-09,,none,none,no night session before the post-holiday session notice_evening=2023-09-28,http://qhxy.dce.com.cn/dalianshangpin/ywfw/jystz/ywtz/8526813/index.html
INE,commodity-v1,2023-10-09,,none,none,no night session before the post-holiday session notice_evening=2023-09-28,https://www.ine.cn/publicnotice/notice/202212/t20221227_813855.html
SHFE,commodity-v1,2023-10-09,,none,none,no night session before the post-holiday session notice_evening=2023-09-28,https://www.shfe.com.cn/publicnotice/notice/202212/t20221227_799690.html
