exchange,product,effective_start,effective_end,night_start,night_end,version
CZCE,AP,2018-06-25,2026-01-30,none,none,commodity-v1
CZCE,CF,2011-01-04,2013-09-12,none,none,commodity-v1
CZCE,CF,2014-08-06,2014-12-12,none,none,commodity-v1
CZCE,CF,2014-12-15,2014-12-31,21:00,23:30,commodity-v1
CZCE,CF,2015-01-05,2015-01-05,none,none,commodity-v1
CZCE,CF,2015-01-06,2015-02-17,21:00,23:30,commodity-v1
CZCE,CF,2015-02-25,2015-02-25,none,none,commodity-v1
CZCE,CF,2015-02-26,2015-04-03,21:00,23:30,commodity-v1
CZCE,CF,2015-04-07,2015-04-07,none,none,commodity-v1
CZCE,CF,2015-04-08,2015-04-30,21:00,23:30,commodity-v1
CZCE,CF,2015-05-04,2015-05-04,none,none,commodity-v1
CZCE,CF,2015-05-05,2015-06-19,21:00,23:30,commodity-v1
CZCE,CF,2015-06-23,2015-06-23,none,none,commodity-v1
CZCE,CF,2015-06-24,2015-09-02,21:00,23:30,commodity-v1
CZCE,CF,2015-09-07,2015-09-07,none,none,commodity-v1
CZCE,CF,2015-09-08,2015-09-25,21:00,23:30,commodity-v1
CZCE,CF,2015-09-28,2015-09-28,none,none,commodity-v1
CZCE,CF,2015-09-29,2015-09-30,21:00,23:30,commodity-v1
CZCE,CF,2015-10-08,2015-10-08,none,none,commodity-v1
CZCE,CF,2015-10-09,2015-12-31,21:00,23:30,commodity-v1
CZCE,CF,2016-01-04,2016-01-04,none,none,commodity-v1
CZCE,CF,2016-01-05,2016-02-05,21:00,23:30,commodity-v1
CZCE,CF,2016-02-15,2016-02-15,none,none,commodity-v1
CZCE,CF,2016-02-16,2016-04-01,21:00,23:30,commodity-v1
CZCE,CF,2016-04-05,2016-04-05,none,none,commodity-v1
CZCE,CF,2016-04-06,2016-04-29,21:00,23:30,commodity-v1
CZCE,CF,2016-05-03,2016-05-03,none,none,commodity-v1
CZCE,CF,2016-05-04,2016-06-08,21:00,23:30,commodity-v1
CZCE,CF,2016-06-13,2016-06-13,none,none,commodity-v1
CZCE,CF,2016-06-14,2016-09-14,21:00,23:30,commodity-v1
CZCE,CF,2016-09-19,2016-09-19,none,none,commodity-v1
CZCE,CF,2016-09-20,2016-09-30,21:00,23:30,commodity-v1
CZCE,CF,2016-10-10,2016-10-10,none,none,commodity-v1
CZCE,CF,2016-10-11,2016-12-30,21:00,23:30,commodity-v1
CZCE,CF,2017-01-03,2017-01-03,none,none,commodity-v1
CZCE,CF,2017-01-04,2017-01-26,21:00,23:30,commodity-v1
CZCE,CF,2017-02-03,2017-02-03,none,none,commodity-v1
CZCE,CF,2017-02-06,2017-03-31,21:00,23:30,commodity-v1
CZCE,CF,2017-04-05,2017-04-05,none,none,commodity-v1
CZCE,CF,2017-04-06,2017-04-18,21:00,23:30,commodity-v1
CZCE,CF,2017-04-19,2017-04-19,none,none,commodity-v1
CZCE,CF,2017-04-20,2017-04-28,21:00,23:30,commodity-v1
CZCE,CF,2017-05-02,2017-05-02,none,none,commodity-v1
CZCE,CF,2017-05-03,2017-05-26,21:00,23:30,commodity-v1
CZCE,CF,2017-05-31,2017-05-31,none,none,commodity-v1
CZCE,CF,2017-06-01,2017-09-29,21:00,23:30,commodity-v1
CZCE,CF,2017-10-09,2017-10-09,none,none,commodity-v1
CZCE,CF,2017-10-10,2017-12-29,21:00,23:30,commodity-v1
CZCE,CF,2018-01-02,2018-01-02,none,none,commodity-v1
CZCE,CF,2018-01-03,2018-02-14,21:00,23:30,commodity-v1
CZCE,CF,2018-02-22,2018-02-22,none,none,commodity-v1
CZCE,CF,2018-02-23,2018-04-04,21:00,23:30,commodity-v1
CZCE,CF,2018-04-09,2018-04-09,none,none,commodity-v1
CZCE,CF,2018-04-10,2018-04-27,21:00,23:30,commodity-v1
CZCE,CF,2018-05-02,2018-05-02,none,none,commodity-v1
CZCE,CF,2018-05-03,2018-06-15,21:00,23:30,commodity-v1
CZCE,CF,2018-06-19,2018-06-19,none,none,commodity-v1
CZCE,CF,2018-06-20,2018-09-21,21:00,23:30,commodity-v1
CZCE,CF,2018-09-25,2018-09-25,none,none,commodity-v1
CZCE,CF,2018-09-26,2018-09-28,21:00,23:30,commodity-v1
CZCE,CF,2018-10-08,2018-10-08,none,none,commodity-v1
