类别,交易所,品种,合约代码,交易日,缺失时段(北京时间),归档现状,判定依据
A 日盘整段缺失,上期所,AL,AL1801,2018-01-02,09:00–15:00（日盘全段）,该品种当日全部合约日盘 0 根 K 线；同日夜盘 K 线完整,整品种日盘为空，夜盘正常，非停牌
A 日盘整段缺失,上期所,AL,AL1802,2018-01-02,09:00–15:00（日盘全段）,该品种当日全部合约日盘 0 根 K 线；同日夜盘 K 线完整,整品种日盘为空，夜盘正常，非停牌
A 日盘整段缺失,上期所,AL,AL1803,2018-01-02,09:00–15:00（日盘全段）,该品种当日全部合约日盘 0 根 K 线；同日夜盘 K 线完整,整品种日盘为空，夜盘正常，非停牌
A 日盘整段缺失,上期所,AL,AL1804,2018-01-02,09:00–15:00（日盘全段）,该品种当日全部合约日盘 0 根 K 线；同日夜盘 K 线完整,整品种日盘为空，夜盘正常，非停牌
A 日盘整段缺失,上期所,AL,AL1805,2018-01-02,09:00–15:00（日盘全段）,该品种当日全部合约日盘 0 根 K 线；同日夜盘 K 线完整,整品种日盘为空，夜盘正常，非停牌
A 日盘整段缺失,上期所,AL,AL1806,2018-01-02,09:00–15:00（日盘全段）,该品种当日全部合约日盘 0 根 K 线；同日夜盘 K 线完整,整品种日盘为空，夜盘正常，非停牌
A 日盘整段缺失,上期所,AL,AL1807,2018-01-02,09:00–15:00（日盘全段）,该品种当日全部合约日盘 0 根 K 线；同日夜盘 K 线完整,整品种日盘为空，夜盘正常，非停牌
A 日盘整段缺失,上期所,AL,AL1808,2018-01-02,09:00–15:00（日盘全段）,该品种当日全部合约日盘 0 根 K 线；同日夜盘 K 线完整,整品种日盘为空，夜盘正常，非停牌
A 日盘整段缺失,上期所,AL,AL1809,2018-01-02,09:00–15:00（日盘全段）,该品种当日全部合约日盘 0 根 K 线；同日夜盘 K 线完整,整品种日盘为空，夜盘正常，非停牌
A 日盘整段缺失,上期所,AL,AL1810,2018-01-02,09:00–15:00（日盘全段）,该品种当日全部合约日盘 0 根 K 线；同日夜盘 K 线完整,整品种日盘为空，夜盘正常，非停牌
A 日盘整段缺失,上期所,AL,AL1811,2018-01-02,09:00–15:00（日盘全段）,该品种当日全部合约日盘 0 根 K 线；同日夜盘 K 线完整,整品种日盘为空，夜盘正常，非停牌
A 日盘整段缺失,上期所,AL,AL1812,2018-01-02,09:00–15:00（日盘全段）,该品种当日全部合约日盘 0 根 K 线；同日夜盘 K 线完整,整品种日盘为空，夜盘正常，非停牌
A 日盘整段缺失,上期所,CU,CU1901,2019-01-02,09:00–15:00（日盘全段）,该品种当日全部合约日盘 0 根 K 线；同日夜盘 K 线完整,整品种日盘为空，夜盘正常，非停牌
A 日盘整段缺失,上期所,CU,CU1902,2019-01-02,09:00–15:00（日盘全段）,该品种当日全部合约日盘 0 根 K 线；同日夜盘 K 线完整,整品种日盘为空，夜盘正常，非停牌
A 日盘整段缺失,上期所,CU,CU1903,2019-01-02,09:00–15:00（日盘全段）,该品种当日全部合约日盘 0 根 K 线；同日夜盘 K 线完整,整品种日盘为空，夜盘正常，非停牌
A 日盘整段缺失,上期所,CU,CU1904,2019-01-02,09:00–15:00（日盘全段）,该品种当日全部合约日盘 0 根 K 线；同日夜盘 K 线完整,整品种日盘为空，夜盘正常，非停牌
A 日盘整段缺失,上期所,CU,CU1905,2019-01-02,09:00–15:00（日盘全段）,该品种当日全部合约日盘 0 根 K 线；同日夜盘 K 线完整,整品种日盘为空，夜盘正常，非停牌
A 日盘整段缺失,上期所,CU,CU1906,2019-01-02,09:00–15:00（日盘全段）,该品种当日全部合约日盘 0 根 K 线；同日夜盘 K 线完整,整品种日盘为空，夜盘正常，非停牌
A 日盘整段缺失,上期所,CU,CU1907,2019-01-02,09:00–15:00（日盘全段）,该品种当日全部合约日盘 0 根 K 线；同日夜盘 K 线完整,整品种日盘为空，夜盘正常，非停牌
A 日盘整段缺失,上期所,CU,CU1908,2019-01-02,09:00–15:00（日盘全段）,该品种当日全部合约日盘 0 根 K 线；同日夜盘 K 线完整,整品种日盘为空，夜盘正常，非停牌
A 日盘整段缺失,上期所,CU,CU1909,2019-01-02,09:00–15:00（日盘全段）,该品种当日全部合约日盘 0 根 K 线；同日夜盘 K 线完整,整品种日盘为空，夜盘正常，非停牌
A 日盘整段缺失,上期所,CU,CU1910,2019-01-02,09:00–15:00（日盘全段）,该品种当日全部合约日盘 0 根 K 线；同日夜盘 K 线完整,整品种日盘为空，夜盘正常，非停牌
A 日盘整段缺失,上期所,CU,CU1911,2019-01-02,09:00–15:00（日盘全段）,该品种当日全部合约日盘 0 根 K 线；同日夜盘 K 线完整,整品种日盘为空，夜盘正常，非停牌
A 日盘整段缺失,上期所,CU,CU1912,2019-01-02,09:00–15:00（日盘全段）,该品种当日全部合约日盘 0 根 K 线；同日夜盘 K 线完整,整品种日盘为空，夜盘正常，非停牌
A 日盘整段缺失,上期所,RU,RU1901,2019-01-02,09:00–15:00（日盘全段）,该品种当日全部合约日盘 0 根 K 线；同日夜盘 K 线完整,整品种日盘为空，夜盘正常，非停牌
A 日盘整段缺失,上期所,RU,RU1903,2019-01-02,09:00–15:00（日盘全段）,该品种当日全部合约日盘 0 根 K 线；同日夜盘 K 线完整,整品种日盘为空，夜盘正常，非停牌
A 日盘整段缺失,上期所,RU,RU1904,2019-01-02,09:00–15:00（日盘全段）,该品种当日全部合约日盘 0 根 K 线；同日夜盘 K 线完整,整品种日盘为空，夜盘正常，非停牌
A 日盘整段缺失,上期所,RU,RU1905,2019-01-02,09:00–15:00（日盘全段）,该品种当日全部合约日盘 0 根 K 线；同日夜盘 K 线完整,整品种日盘为空，夜盘正常，非停牌
A 日盘整段缺失,上期所,RU,RU1906,2019-01-02,09:00–15:00（日盘全段）,该品种当日全部合约日盘 0 根 K 线；同日夜盘 K 线完整,整品种日盘为空，夜盘正常，非停牌
A 日盘整段缺失,上期所,RU,RU1907,2019-01-02,09:00–15:00（日盘全段）,该品种当日全部合约日盘 0 根 K 线；同日夜盘 K 线完整,整品种日盘为空，夜盘正常，非停牌
A 日盘整段缺失,上期所,RU,RU1908,2019-01-02,09:00–15:00（日盘全段）,该品种当日全部合约日盘 0 根 K 线；同日夜盘 K 线完整,整品种日盘为空，夜盘正常，非停牌
A 日盘整段缺失,上期所,RU,RU1909,2019-01-02,09:00–15:00（日盘全段）,该品种当日全部合约日盘 0 根 K 线；同日夜盘 K 线完整,整品种日盘为空，夜盘正常，非停牌
A 日盘整段缺失,上期所,RU,RU1910,2019-01-02,09:00–15:00（日盘全段）,该品种当日全部合约日盘 0 根 K 线；同日夜盘 K 线完整,整品种日盘为空，夜盘正常，非停牌
A 日盘整段缺失,上期所,RU,RU1911,2019-01-02,09:00–15:00（日盘全段）,该品种当日全部合约日盘 0 根 K 线；同日夜盘 K 线完整,整品种日盘为空，夜盘正常，非停牌
A 日盘整段缺失,上期所,AL,AL2001,2020-01-02,09:00–15:00（日盘全段）,该品种当日全部合约日盘 0 根 K 线；同日夜盘 K 线完整,整品种日盘为空，夜盘正常，非停牌
