exchange,product,trade_date,check,reason
INE,SC,2018-05-02,night_authority_conflict,"session_authority_error: check=night_authority_conflict; reason=observed night interval conflicts with repository authority; row_identity={'exchange': 'INE', 'product': 'SC', 'trade_date': '2018-05-02'}; context={'day_only_matches': 0, 'observed_night_end': 'none', 'observed_night_start': 'none', 'session_exception_matches': 0}"
INE,SC,2018-06-19,night_authority_conflict,"session_authority_error: check=night_authority_conflict; reason=observed night interval conflicts with repository authority; row_identity={'exchange': 'INE', 'product': 'SC', 'trade_date': '2018-06-19'}; context={'day_only_matches': 0, 'observed_night_end': 'none', 'observed_night_start': 'none', 'session_exception_matches': 0}"
DCE,EG,2019-02-01,night_authority_conflict,"session_authority_error: check=night_authority_conflict; reason=observed night interval conflicts with repository authority; row_identity={'exchange': 'DCE', 'product': 'EG', 'trade_date': '2019-02-01'}; context={'day_only_matches': 0, 'observed_night_end': 'none', 'observed_night_start': 'none', 'session_exception_matches': 0}"
DCE,EG,2019-02-12,night_authority_conflict,"session_authority_error: check=night_authority_conflict; reason=observed night interval conflicts with repository authority; row_identity={'exchange': 'DCE', 'product': 'EG', 'trade_date': '2019-02-12'}; context={'day_only_matches': 0, 'observed_night_end': 'none', 'observed_night_start': 'none', 'session_exception_matches': 0}"
DCE,EG,2019-02-13,night_authority_conflict,"session_authority_error: check=night_authority_conflict; reason=observed night interval conflicts with repository authority; row_identity={'exchange': 'DCE', 'product': 'EG', 'trade_date': '2019-02-13'}; context={'day_only_matches': 0, 'observed_night_end': 'none', 'observed_night_start': 'none', 'session_exception_matches': 0}"
DCE,EG,2019-02-14,night_authority_conflict,"session_authority_error: check=night_authority_conflict; reason=observed night interval conflicts with repository authority; row_identity={'exchange': 'DCE', 'product': 'EG', 'trade_date': '2019-02-14'}; context={'day_only_matches': 0, 'observed_night_end': 'none', 'observed_night_start': 'none', 'session_exception_matches': 0}"
DCE,EG,2019-02-15,night_authority_conflict,"session_authority_error: check=night_authority_conflict; reason=observed night interval conflicts with repository authority; row_identity={'exchange': 'DCE', 'product': 'EG', 'trade_date': '2019-02-15'}; context={'day_only_matches': 0, 'observed_night_end': 'none', 'observed_night_start': 'none', 'session_exception_matches': 0}"
DCE,EG,2019-02-18,night_authority_conflict,"session_authority_error: check=night_authority_conflict; reason=observed night interval conflicts with repository authority; row_identity={'exchange': 'DCE', 'product': 'EG', 'trade_date': '2019-02-18'}; context={'day_only_matches': 0, 'observed_night_end': 'none', 'observed_night_start': 'none', 'session_exception_matches': 0}"
DCE,EG,2019-02-19,night_authority_conflict,"session_authority_error: check=night_authority_conflict; reason=observed night interval conflicts with repository authority; row_identity={'exchange': 'DCE', 'product': 'EG', 'trade_date': '2019-02-19'}; context={'day_only_matches': 0, 'observed_night_end': 'none', 'observed_night_start': 'none', 'session_exception_matches': 0}"
DCE,EG,2019-02-20,night_authority_conflict,"session_authority_error: check=night_authority_conflict; reason=observed night interval conflicts with repository authority; row_identity={'exchange': 'DCE', 'product': 'EG', 'trade_date': '2019-02-20'}; context={'day_only_matches': 0, 'observed_night_end': 'none', 'observed_night_start': 'none', 'session_exception_matches': 0}"
